state,county,level,eevp,votes_harris_k_total,votes_harris_k_advance,votes_harris_k_provisional,votes_harris_k_absentee_mail,votes_harris_k_absentee_in_person,votes_harris_k_election_day_in_person,votes_trump_d_total,votes_trump_d_advance,votes_trump_d_provisional,votes_trump_d_absentee_mail,votes_trump_d_absentee_in_person,votes_trump_d_election_day_in_person,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
Arkansas,Yell,county,99,1210,NA,NA,NA,NA,NA,5118,NA,NA,NA,NA,NA,6445,18.774243599689683,79.41039565554694,6741,19.048,77.526
Arkansas,Drew,county,99,2046,NA,NA,NA,NA,NA,4195,NA,NA,NA,NA,NA,6353,32.20525735872816,66.03179600188888,6908,35.119,62.956
Arkansas,Hempstead,county,99,1775,NA,NA,NA,NA,NA,4193,NA,NA,NA,NA,NA,6088,29.155716162943495,68.87319316688567,6848,31.221,65.275
Arkansas,Stone,county,98.99,1079,NA,NA,NA,NA,NA,4785,NA,NA,NA,NA,NA,5995,17.998331943286072,79.81651376146789,5938,19.872,77.737
Arkansas,Saint Francis,county,99,2953,NA,NA,NA,NA,NA,2909,NA,NA,NA,NA,NA,5979,49.389530021742765,48.653621006857335,7108,50.703,45.611
Arkansas,Izard,county,99,949,NA,NA,NA,NA,NA,4854,NA,NA,NA,NA,NA,5925,16.0168776371308,81.92405063291139,5810,17.573,79.707
Arkansas,Lawrence,county,99,965,NA,NA,NA,NA,NA,4608,NA,NA,NA,NA,NA,5692,16.953619114546733,80.9557273366128,5857,18.439,78.009
Arkansas,Arkansas,county,99,1501,NA,NA,NA,NA,NA,3948,NA,NA,NA,NA,NA,5542,27.084085167809455,71.23782028148683,6292,28.894,68.404
Arkansas,Fulton,county,99,906,NA,NA,NA,NA,NA,4034,NA,NA,NA,NA,NA,5037,17.986896962477665,80.08735358348223,5119,20.219,77.378
Arkansas,Clay,county,99,907,NA,NA,NA,NA,NA,3968,NA,NA,NA,NA,NA,4967,18.260519428226292,79.88725588886652,5183,18.561,78.835
Arkansas,Phillips,county,98.99,2737,NA,NA,NA,NA,NA,2081,NA,NA,NA,NA,NA,4902,55.834353325173396,42.45206038351693,6242,58.042,38.722
Arkansas,Little River,county,99,1076,NA,NA,NA,NA,NA,3737,NA,NA,NA,NA,NA,4884,22.03112203112203,76.51515151515152,5177,23.682,71.76
Arkansas,Jackson,county,99,1182,NA,NA,NA,NA,NA,3508,NA,NA,NA,NA,NA,4773,24.764299182903834,73.49675256652,5091,26.812,70.576
Arkansas,Sevier,county,98.99,861,NA,NA,NA,NA,NA,3767,NA,NA,NA,NA,NA,4708,18.28802039082413,80.01274426508071,5202,21.453,74.664
Arkansas,Perry,county,99,923,NA,NA,NA,NA,NA,3559,NA,NA,NA,NA,NA,4584,20.13525305410122,77.63961605584642,4627,21.872,75.189
Arkansas,Howard,county,99,1158,NA,NA,NA,NA,NA,3246,NA,NA,NA,NA,NA,4473,25.888665325285043,72.56874580818243,4834,27.72,69.652
Arkansas,Pike,county,99,560,NA,NA,NA,NA,NA,3745,NA,NA,NA,NA,NA,4357,12.852880422308928,85.95363782419096,4246,15.167,82.878
Arkansas,Searcy,county,99,510,NA,NA,NA,NA,NA,3281,NA,NA,NA,NA,NA,3844,13.267429760665973,85.35379812695109,4019,14.631,83.727
Arkansas,Newton,county,99,644,NA,NA,NA,NA,NA,3063,NA,NA,NA,NA,NA,3770,17.082228116710876,81.24668435013263,3998,17.734,79.84
Arkansas,Montgomery,county,99,639,NA,NA,NA,NA,NA,2974,NA,NA,NA,NA,NA,3687,17.331163547599676,80.66178464876593,3873,18.874,78.647
Arkansas,Desha,county,99,1630,NA,NA,NA,NA,NA,1803,NA,NA,NA,NA,NA,3495,46.63805436337625,51.587982832618025,4164,48.415,46.134
Arkansas,Chicot,county,99,1788,NA,NA,NA,NA,NA,1654,NA,NA,NA,NA,NA,3478,51.408855664174816,47.55606670500288,4103,55.082,42.7
Arkansas,Scott,county,99,425,NA,NA,NA,NA,NA,2905,NA,NA,NA,NA,NA,3376,12.588862559241706,86.04857819905213,3551,13.602,83.413
Arkansas,Cleveland,county,99,524,NA,NA,NA,NA,NA,2803,NA,NA,NA,NA,NA,3373,15.535131930032613,83.10109694633857,3600,18.083,79.639
Arkansas,Lincoln,county,99,811,NA,NA,NA,NA,NA,2501,NA,NA,NA,NA,NA,3369,24.072425051944197,74.23567824280202,3875,26.632,70.426
Arkansas,Bradley,county,99,958,NA,NA,NA,NA,NA,2210,NA,NA,NA,NA,NA,3203,29.909459881361222,68.99781454886045,3654,33.224,63.903
Arkansas,Prairie,county,99,524,NA,NA,NA,NA,NA,2628,NA,NA,NA,NA,NA,3200,16.375,82.125,3495,18.712,79.714
Arkansas,Nevada,county,98.99,844,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,2847,29.645240604144714,68.42290129961363,3358,32.043,63.52
Arkansas,Lee,county,99,1253,NA,NA,NA,NA,NA,1174,NA,NA,NA,NA,NA,2496,50.20032051282051,47.03525641025641,2848,49.965,45.154
Arkansas,Monroe,county,98.98,1001,NA,NA,NA,NA,NA,1385,NA,NA,NA,NA,NA,2432,41.15953947368421,56.94901315789474,2816,40.732,54.865
Arkansas,Dallas,county,99,797,NA,NA,NA,NA,NA,1482,NA,NA,NA,NA,NA,2323,34.309083082221264,63.7968144640551,2649,36.353,59.381
Arkansas,Woodruff,county,99,760,NA,NA,NA,NA,NA,1511,NA,NA,NA,NA,NA,2316,32.81519861830743,65.24179620034542,2476,34.572,62.318
Arkansas,Lafayette,county,99,690,NA,NA,NA,NA,NA,1579,NA,NA,NA,NA,NA,2307,29.90897269180754,68.44386649328132,2679,31.318,65.584
Arkansas,Calhoun,county,99,378,NA,NA,NA,NA,NA,1668,NA,NA,NA,NA,NA,2085,18.1294964028777,80,2182,21.952,74.977
California,California,state,71.76,7267019,NA,NA,NA,NA,NA,4792460,NA,NA,NA,NA,NA,12416793,58.52573204691421,38.59660058760745,17496800,63.499,34.329
California,Los Angeles,county,81.07,2216633,NA,NA,NA,NA,NA,1095540,NA,NA,NA,NA,NA,3419847,64.81673010517721,32.034766467622674,4263443,71.043,26.869
California,San Diego,county,76,693496,NA,NA,NA,NA,NA,496991,NA,NA,NA,NA,NA,1223202,56.69513293797754,40.630329250606195,1601722,60.226,37.466
